Rectangle Co-ordinates,Centroid,Area,Time
"(504, 0, 367, 589)","(686, 323)",148071.0,1581815898.3739877
"(502, 0, 369, 589)","(686, 327)",146287.5,1581815898.408835
"(502, 52, 369, 538)","(683, 339)",140361.0,1581815898.4416766
"(498, 105, 373, 485)","(682, 346)",138278.5,1581815898.474567
"(498, 55, 373, 535)","(683, 341)",140694.0,1581815898.5085125
"(498, 80, 373, 510)","(683, 344)",138601.0,1581815898.5417974
"(500, 0, 371, 592)","(682, 334)",144261.5,1581815898.574931
"(498, 112, 371, 483)","(682, 350)",135815.5,1581815898.6090968
"(496, 75, 373, 521)","(680, 348)",139165.5,1581815898.6430624
"(502, 114, 367, 483)","(680, 353)",135609.0,1581815898.6758714
"(498, 98, 369, 501)","(678, 352)",136367.0,1581815898.710289
"(498, 111, 369, 489)","(679, 356)",135159.5,1581815898.7441745
"(502, 120, 365, 482)","(679, 358)",133607.0,1581815898.7770662
"(500, 60, 367, 545)","(680, 354)",137047.0,1581815898.8109517
"(494, 126, 371, 482)","(677, 365)",134359.5,1581815898.8458593
"(496, 132, 367, 484)","(675, 371)",134962.5,1581815898.8788254
"(494, 137, 371, 485)","(675, 377)",134576.5,1581815898.9117014
"(492, 144, 373, 483)","(676, 384)",133260.5,1581815898.9474947
"(508, 147, 357, 483)","(678, 387)",131765.5,1581815898.9789817
"(498, 154, 369, 478)","(677, 390)",132482.0,1581815899.0117826
"(500, 128, 367, 506)","(676, 389)",135048.5,1581815899.0467653
"(498, 10, 369, 623)","(681, 372)",141515.5,1581815899.0796313
"(494, 156, 373, 477)","(675, 393)",133830.5,1581815899.112443
"(502, 156, 365, 477)","(677, 392)",132542.0,1581815899.1473262
"(496, 158, 371, 476)","(677, 392)",132545.0,1581815899.1792197
"(502, 130, 365, 503)","(678, 388)",133417.5,1581815899.2142062
"(500, 95, 367, 538)","(680, 385)",135413.0,1581815899.2490842
"(496, 150, 371, 482)","(677, 390)",133290.5,1581815899.2818775
"(496, 156, 371, 476)","(676, 391)",133292.5,1581815899.314766
"(502, 92, 365, 541)","(681, 385)",135487.5,1581815899.348653
"(496, 155, 371, 477)","(678, 391)",132205.5,1581815899.3825405
"(496, 65, 371, 567)","(680, 378)",139145.0,1581815899.415429
"(496, 128, 371, 505)","(678, 387)",134667.0,1581815899.4483957
"(496, 43, 371, 589)","(679, 375)",140382.5,1581815899.4822073
"(500, 151, 367, 481)","(678, 391)",132875.0,1581815899.516094
"(504, 136, 363, 497)","(679, 388)",133278.0,1581815899.549979
"(496, 154, 371, 477)","(678, 390)",132424.5,1581815899.5849485
"(496, 154, 371, 478)","(678, 390)",132712.0,1581815899.6167555
"(502, 121, 365, 510)","(679, 386)",133898.0,1581815899.6506422
"(498, 97, 369, 535)","(680, 384)",136175.0,1581815899.6856465
"(502, 155, 365, 476)","(679, 391)",131755.5,1581815899.7167227
"(501, 123, 366, 510)","(679, 386)",134246.5,1581815899.7526028
"(496, 153, 371, 479)","(678, 390)",133140.0,1581815899.7874863
"(500, 143, 367, 489)","(680, 387)",131528.5,1581815899.8185244
"(494, 111, 373, 522)","(679, 385)",136164.5,1581815899.853403
"(498, 154, 369, 479)","(678, 389)",132956.5,1581815899.8862927
"(500, 145, 367, 486)","(678, 388)",133404.0,1581815899.9192839
"(502, 153, 365, 478)","(679, 390)",132332.0,1581815899.9540663
"(500, 156, 367, 475)","(679, 389)",131334.5,1581815899.986958
"(500, 75, 367, 558)","(681, 378)",137797.5,1581815900.0201387
"(502, 154, 365, 477)","(679, 389)",132093.5,1581815900.0540266
"(496, 156, 370, 478)","(678, 390)",132283.5,1581815900.0869243
"(502, 154, 365, 478)","(678, 389)",132234.0,1581815900.1199644
"(498, 152, 369, 480)","(678, 389)",133650.5,1581815900.1548493
"(500, 155, 367, 477)","(679, 390)",131771.0,1581815900.188734
"(496, 155, 371, 476)","(678, 389)",133001.5,1581815900.221627
"(500, 152, 367, 479)","(678, 390)",133230.0,1581815900.2565074
"(498, 122, 369, 510)","(676, 384)",135763.0,1581815900.288401
"(502, 156, 365, 476)","(678, 390)",132951.5,1581815900.3226125
"(494, 124, 373, 507)","(678, 387)",135584.5,1581815900.355503
"(502, 155, 365, 477)","(679, 389)",132345.0,1581815900.3896658
"(498, 63, 369, 569)","(681, 378)",137772.0,1581815900.4227922
"(502, 152, 365, 479)","(679, 389)",131944.5,1581815900.4566789
"(510, 153, 357, 478)","(681, 389)",130891.0,1581815900.4896472
"(498, 156, 369, 476)","(678, 390)",132994.0,1581815900.5235758
"(500, 153, 367, 480)","(680, 389)",132033.0,1581815900.5574713
"(502, 89, 365, 542)","(681, 382)",135082.5,1581815900.5913486
"(496, 153, 371, 479)","(679, 389)",132585.0,1581815900.6237462
"(496, 153, 371, 479)","(679, 389)",131904.0,1581815900.659626
"(501, 101, 366, 530)","(681, 383)",134477.5,1581815900.692143
"(496, 154, 371, 478)","(678, 389)",132467.5,1581815900.7260215
"(498, 154, 369, 477)","(678, 389)",132883.5,1581815900.7605028
"(498, 153, 369, 479)","(679, 390)",132822.0,1581815900.796293
"(508, 112, 359, 519)","(682, 383)",133823.0,1581815900.8252437
"(496, 128, 371, 503)","(679, 386)",134089.5,1581815900.8600779
"(498, 152, 369, 481)","(678, 389)",133153.0,1581815900.895771
"(500, 90, 367, 541)","(681, 382)",135767.0,1581815900.9269972
"(500, 154, 367, 477)","(679, 389)",132320.5,1581815900.9618692
"(498, 147, 369, 484)","(679, 389)",133190.0,1581815900.9957561
"(498, 153, 369, 478)","(678, 389)",133139.0,1581815901.028646
"(494, 154, 373, 477)","(678, 389)",133693.5,1581815901.0635846
"(500, 154, 367, 479)","(679, 389)",132744.0,1581815901.0954227
"(500, 138, 367, 494)","(680, 387)",133334.0,1581815901.1294372
"(496, 154, 371, 478)","(679, 389)",132666.5,1581815901.162293
"(500, 153, 367, 477)","(679, 389)",132990.5,1581815901.1961675
"(496, 153, 371, 479)","(679, 389)",132760.5,1581815901.2299721
"(500, 155, 367, 477)","(678, 389)",133547.5,1581815901.2678492
"(498, 154, 369, 478)","(679, 387)",132313.0,1581815901.296749
"(502, 153, 365, 478)","(679, 388)",132536.0,1581815901.3306372
"(496, 105, 371, 528)","(678, 382)",137844.5,1581815901.3645453
"(498, 155, 369, 477)","(678, 389)",133063.0,1581815901.3974912
"(502, 154, 365, 478)","(680, 389)",132154.0,1581815901.431392
"(498, 86, 369, 546)","(682, 381)",135673.0,1581815901.4651856
"(498, 155, 369, 477)","(678, 388)",133032.5,1581815901.4980764
"(502, 152, 365, 480)","(680, 389)",131892.5,1581815901.5319622
"(500, 142, 367, 490)","(679, 388)",133321.0,1581815901.5658488
"(504, 153, 363, 479)","(680, 388)",131494.0,1581815901.5997353
"(498, 102, 369, 530)","(679, 383)",137106.5,1581815901.6378288
"(502, 154, 365, 478)","(678, 389)",132826.5,1581815901.6669753
"(496, 131, 371, 500)","(678, 386)",134312.0,1581815901.6998663
"(500, 152, 367, 480)","(680, 389)",132040.5,1581815901.7337518
"(500, 149, 367, 480)","(679, 387)",132769.5,1581815901.768731
"(500, 152, 365, 479)","(680, 388)",131760.0,1581815901.800529
"(496, 82, 371, 550)","(680, 380)",136577.5,1581815901.836412
"(500, 111, 367, 521)","(679, 383)",135298.5,1581815901.8702953
"(498, 104, 369, 528)","(680, 383)",136121.0,1581815901.9021885
"(500, 89, 367, 542)","(681, 382)",136101.0,1581815901.9351292
"(498, 152, 369, 480)","(679, 388)",132969.0,1581815901.970034
"(502, 154, 363, 477)","(680, 389)",131502.5,1581815902.0023582
"(502, 111, 365, 520)","(681, 384)",134545.5,1581815902.036244
"(498, 152, 369, 479)","(678, 388)",133032.0,1581815902.0711274
"(509, 140, 358, 492)","(681, 386)",132949.0,1581815902.1041243
"(502, 153, 365, 479)","(679, 388)",132701.0,1581815902.1371167
"(498, 111, 369, 521)","(679, 382)",137225.5,1581815902.1719916
"(498, 153, 369, 479)","(680, 388)",132288.0,1581815902.204146
"(496, 152, 371, 480)","(678, 389)",133698.0,1581815902.2380319
"(498, 154, 369, 478)","(678, 389)",132678.0,1581815902.2719185
"(506, 118, 361, 514)","(681, 384)",134055.0,1581815902.3042164
"(498, 154, 369, 477)","(680, 389)",131808.5,1581815902.3401482
"(500, 154, 367, 478)","(678, 389)",133065.5,1581815902.3719375
"(500, 64, 367, 567)","(676, 374)",140374.5,1581815902.4048276
"(498, 109, 369, 522)","(677, 381)",137652.5,1581815902.4397123
"(496, 123, 371, 509)","(680, 385)",135353.5,1581815902.4726005
"(498, 98, 369, 534)","(679, 382)",136524.5,1581815902.5054908
"(498, 152, 369, 479)","(680, 388)",132253.5,1581815902.53964
"(496, 155, 371, 477)","(678, 389)",133339.0,1581815902.5727453
"(498, 153, 369, 478)","(679, 388)",132393.5,1581815902.6076288
"(502, 81, 365, 551)","(681, 377)",138716.5,1581815902.6395218
"(500, 151, 367, 480)","(679, 389)",132698.0,1581815902.674405
"(498, 138, 369, 493)","(680, 387)",133917.5,1581815902.708851
"(498, 110, 367, 521)","(676, 383)",136439.5,1581815902.7417402
"(504, 110, 363, 520)","(678, 382)",135452.5,1581815902.7766223
"(497, 154, 370, 478)","(679, 388)",132997.5,1581815902.8090193
"(510, 153, 357, 479)","(682, 388)",130382.5,1581815902.843903
"(496, 153, 371, 479)","(678, 388)",133120.0,1581815902.8748252
"(498, 147, 369, 485)","(679, 387)",134042.0,1581815902.9091954
"(502, 122, 365, 508)","(678, 384)",135483.5,1581815902.944168
"(498, 152, 369, 479)","(679, 388)",133027.5,1581815902.9770186
"(504, 137, 363, 495)","(679, 385)",133741.0,1581815903.011453
"(502, 152, 365, 480)","(679, 389)",132667.0,1581815903.0454345
"(502, 57, 365, 576)","(681, 369)",141996.0,1581815903.0782588
"(502, 151, 365, 479)","(680, 388)",131881.0,1581815903.1111186
"(502, 153, 365, 478)","(680, 388)",132502.0,1581815903.1450047
"(498, 153, 369, 480)","(678, 389)",133328.5,1581815903.1788917
"(508, 126, 359, 505)","(683, 385)",132169.0,1581815903.2177622
