x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,time
0.367485,0.641836,0.482667,0.569175,0.552830,0.480246,0.600752,0.393854,0.667206,0.299920,0.453617,0.320676,0.467907,0.194846,0.475037,0.109824,0.477750,0.038159,0.376903,0.322595,0.372903,0.189039,0.366009,0.100260,0.359082,0.019648,0.301248,0.342405,0.281528,0.225221,0.265885,0.135650,0.255032,0.057796,0.230474,0.375879,0.193833,0.279400,0.174527,0.210825,0.161633,0.145753,1572669446879
0.377019,0.640363,0.494062,0.568211,0.562795,0.475006,0.610757,0.386100,0.673073,0.292886,0.462582,0.322755,0.478624,0.197588,0.486571,0.111573,0.490911,0.037187,0.385345,0.326231,0.377334,0.192817,0.367844,0.101489,0.360057,0.017279,0.310096,0.348993,0.288877,0.233453,0.274586,0.140569,0.264623,0.059634,0.240578,0.383153,0.203752,0.287528,0.184893,0.217426,0.171780,0.150770,1572669447005
0.395073,0.634325,0.507055,0.562574,0.579670,0.473349,0.629443,0.386875,0.693070,0.295248,0.477345,0.313439,0.493538,0.189834,0.499988,0.103653,0.501242,0.030179,0.401403,0.316181,0.397264,0.185380,0.389828,0.095696,0.381801,0.016388,0.328051,0.337770,0.309580,0.223288,0.295335,0.133323,0.284355,0.056687,0.259488,0.373120,0.224182,0.277648,0.205696,0.208574,0.193517,0.144176,1572669447124
0.408923,0.631082,0.524739,0.558217,0.596168,0.466378,0.645649,0.376239,0.707456,0.282933,0.495233,0.312704,0.510033,0.187196,0.516376,0.100629,0.517480,0.026146,0.417570,0.315983,0.410453,0.183982,0.401645,0.092402,0.392825,0.012651,0.343071,0.338014,0.323071,0.223381,0.308180,0.131724,0.296546,0.054759,0.273090,0.371488,0.236949,0.276211,0.217574,0.207648,0.204768,0.144192,1572669447240
0.429851,0.627306,0.541173,0.555777,0.613551,0.464964,0.661460,0.378800,0.724759,0.288157,0.509437,0.307534,0.525756,0.183477,0.533996,0.094938,0.537954,0.019534,0.432213,0.311911,0.426806,0.180381,0.419131,0.086767,0.412248,0.009051,0.358131,0.334677,0.338131,0.222536,0.324845,0.129648,0.314366,0.053160,0.290054,0.372862,0.254070,0.278574,0.235381,0.208255,0.223650,0.143559,1572669447357
0.443227,0.627010,0.556847,0.558043,0.626025,0.466061,0.674072,0.378422,0.734038,0.289211,0.524628,0.313274,0.540834,0.186722,0.547226,0.098229,0.548576,0.022385,0.447713,0.317449,0.440256,0.184987,0.431415,0.091043,0.422937,0.010183,0.372972,0.340800,0.351922,0.226032,0.338153,0.130791,0.326916,0.052479,0.302801,0.375891,0.266244,0.280912,0.245968,0.210821,0.232885,0.145705,1572669447473
0.461232,0.625151,0.576701,0.554787,0.646384,0.462620,0.694035,0.377065,0.756871,0.288721,0.542960,0.309461,0.557292,0.186553,0.565021,0.099171,0.568314,0.025244,0.466496,0.313159,0.455936,0.181737,0.443875,0.090964,0.433051,0.012735,0.391907,0.334260,0.366629,0.219089,0.349920,0.126138,0.337869,0.048353,0.323411,0.369174,0.283509,0.274041,0.263085,0.203711,0.248377,0.139211,1572669447590
0.474345,0.626136,0.589480,0.557080,0.658458,0.463608,0.706710,0.375827,0.768999,0.290465,0.554564,0.310003,0.568856,0.185288,0.575248,0.099501,0.576823,0.026379,0.477277,0.313355,0.469828,0.182835,0.460549,0.090240,0.450533,0.011752,0.403470,0.336746,0.377165,0.225860,0.361007,0.131995,0.347574,0.052521,0.335775,0.373997,0.296744,0.282093,0.275951,0.212801,0.261196,0.147056,1572669447708
0.490312,0.628341,0.602459,0.559728,0.672143,0.464701,0.722893,0.378055,0.785410,0.295190,0.567283,0.310462,0.581549,0.187359,0.587136,0.100551,0.587926,0.029221,0.492074,0.313613,0.485356,0.186034,0.472888,0.095036,0.460684,0.016232,0.418325,0.337957,0.393364,0.226148,0.376849,0.132750,0.363508,0.052634,0.349585,0.377120,0.310919,0.284097,0.291837,0.214818,0.278802,0.148723,1572669447826
0.507301,0.633697,0.623664,0.565049,0.692974,0.470414,0.742553,0.384517,0.807321,0.300840,0.586997,0.310386,0.601507,0.189232,0.606814,0.104843,0.607167,0.033804,0.510316,0.313894,0.501243,0.186695,0.489028,0.097553,0.477752,0.018986,0.436313,0.338780,0.410121,0.225161,0.393173,0.133896,0.379718,0.055266,0.367334,0.380280,0.329222,0.286768,0.309108,0.217115,0.294586,0.151838,1572669447944
0.519937,0.640028,0.631486,0.575401,0.703311,0.476461,0.751150,0.388205,0.815579,0.300408,0.600122,0.315805,0.615031,0.192067,0.618442,0.106383,0.617314,0.035779,0.522886,0.321137,0.514070,0.191318,0.500193,0.099877,0.487981,0.020430,0.449423,0.347045,0.425717,0.234380,0.406573,0.141306,0.391038,0.062498,0.380739,0.386610,0.344723,0.293412,0.324345,0.222345,0.311235,0.156809,1572669448059
0.537654,0.647616,0.654391,0.576262,0.724370,0.482123,0.774256,0.394752,0.834168,0.304262,0.616943,0.323182,0.629803,0.198486,0.631624,0.114581,0.629832,0.046409,0.540062,0.325608,0.532518,0.196922,0.518747,0.105609,0.506647,0.028345,0.465646,0.348973,0.441872,0.236815,0.423017,0.143609,0.409197,0.065875,0.396228,0.387096,0.359027,0.295046,0.339386,0.224334,0.326826,0.159921,1572669448176
0.544383,0.648253,0.662473,0.581667,0.731297,0.485162,0.776576,0.396404,0.839070,0.307636,0.628869,0.328480,0.645236,0.202572,0.647956,0.116550,0.646875,0.047798,0.551121,0.332928,0.543522,0.198500,0.532714,0.106173,0.523432,0.022828,0.477339,0.357929,0.453992,0.241996,0.435110,0.150748,0.420295,0.071884,0.407603,0.393770,0.370979,0.299494,0.352874,0.229189,0.341903,0.164465,1572669448290
0.562561,0.654534,0.675381,0.581844,0.743690,0.488956,0.791975,0.403895,0.854367,0.316099,0.641413,0.333827,0.656877,0.213132,0.662073,0.128150,0.664835,0.059773,0.565195,0.335848,0.557187,0.207794,0.545948,0.114559,0.536453,0.034169,0.490526,0.357654,0.466476,0.245842,0.449410,0.153246,0.437750,0.076130,0.419669,0.392508,0.382325,0.298773,0.366599,0.227767,0.357032,0.163034,1572669448406
